epoch,train_loss,test_loss,test_recon,test_kld
1,190.8620527859158,62.04226180114746,52.132766857910156,9.909494943237304
2,75.34090246988933,47.221460861206054,41.49711923828125,5.724341622924805
3,44.71023791232639,41.98056543655395,37.714980322265625,4.26558511428833
4,38.708920693630645,36.60980986595153,32.93546918945312,3.6743406764984132
5,36.54237437065972,35.83290722885132,32.90691813964844,2.925989089202881
6,35.6928091539171,34.39543527870178,31.982186590576173,2.4132486881256106
7,34.782046557617186,33.7391561542511,31.625298068237306,2.113858086013794
8,34.430872822401255,33.24445245285034,31.418505572509765,1.825946880340576
9,34.258796112060544,32.86204916553498,31.27995246887207,1.5820966966629029
10,33.840587476264105,31.9176980342865,30.38579067993164,1.5319073543548585
11,33.215216951497396,31.68217926273346,30.375692712402344,1.3064865503311158
12,33.038867923990885,31.615201645088195,30.225115966796874,1.390085678291321
13,32.85551301744249,31.55539484577179,30.132902423095704,1.4224924226760864
14,32.648256305609806,31.23974931049347,29.951304040527344,1.2884452699661255
15,32.43679790106879,31.11401430225372,29.710590954589843,1.4034233476638793
16,32.28036056111654,30.987486664581297,29.633265380859374,1.3542212837219239
17,32.16685558539496,30.84880281162262,29.531024838256837,1.3177779733657837
18,32.03945289035373,30.759511216926576,29.536400061035156,1.2231111558914185
19,31.92427892320421,30.595836738586428,29.33286396789551,1.262972770690918
20,31.822466204833983,30.566726861381532,29.30717742614746,1.25954943523407
21,31.714702640109593,30.353126517486572,29.1898878112793,1.1632387062072753
22,31.6323810740153,30.24114161605835,29.018302770996094,1.2228388450622558
23,31.531628415256076,30.15431116294861,28.984624588012696,1.169686574935913
24,31.439136258951823,30.053385408973693,28.955965493774414,1.0974199151992798
25,31.3426374742296,29.9506970998764,28.723296936035155,1.2274001638412475
26,31.241141284857857,29.865711389541627,28.66308394165039,1.2026274478912353
27,31.139092263115778,29.778005865859985,28.545859133911133,1.2321467319488526
28,31.03609884914822,29.669137802124023,28.443344140625,1.2257936614990235
29,30.923915334743924,29.504722985076906,28.243342102050782,1.261380883026123
30,30.834878331502278,29.397571861076354,28.21310101928711,1.1844708417892456
31,30.730728993733724,29.291689320373536,28.144226287841796,1.1474630325317383
32,30.594104523383248,29.13139481124878,27.968490151977537,1.1629046592712402
33,30.47689870944553,29.036530233764648,28.009025268554687,1.027504965209961
34,30.359659805636937,28.8803044921875,27.66206476135254,1.2182397308349608
35,30.231578147040473,28.787794314193725,27.675854278564454,1.1119400356292726
36,30.092232429334853,28.632395933914182,27.502838009643554,1.12955792427063
37,29.94065591430664,28.425838068389893,27.31113585510254,1.1147022132873534
38,29.78325128004286,28.30210257740021,27.1200861907959,1.1820163866043092
39,29.62095635884603,28.11944282913208,26.979858444213868,1.1395843849182128
40,29.44798386027018,27.970988166427613,26.86899007873535,1.1019980876922608
41,29.25791168382433,27.8182785446167,26.57872033996582,1.2395582046508788
42,29.045016977267796,27.648975982856747,26.482049499511717,1.1669264833450317
43,28.829668247477212,27.388803775787352,26.300485162353514,1.0883186134338378
44,28.566339480251735,27.16632729988098,25.98825793762207,1.1780693622589111
45,28.285953212483722,26.969132802963255,25.77283193359375,1.1963008693695067
46,27.9512514444987,26.766914793777467,25.524165521240235,1.2427492725372316
47,27.573826321072048,26.482558819770812,25.272086779785155,1.2104720399856568
48,27.116719329155817,26.169564194107053,25.017324609375,1.1522395847320557
49,26.5126159298367,25.878291238975525,24.63229465637207,1.2459965826034547
50,25.47793487786187,25.548773037147523,24.341160375976564,1.2076126611709594
51,25.40684282260471,25.554836173439025,24.209163107299805,1.345673066139221
52,25.390755417209203,25.502642357444763,24.362225057983398,1.1404172994613648
53,25.390684965345596,25.52426665687561,24.297455130004884,1.2268115268707276
54,25.39382509121365,25.490823299789426,24.31961856689453,1.1712047328948976
55,25.394151180013022,25.53064595088959,24.35452424621582,1.176121704673767
56,25.386195823160808,25.510571154403685,24.441282931518554,1.069288222885132
57,25.379900085110133,25.50319488334656,24.315419631958008,1.1877752513885498
58,25.38642113104926,25.53060277519226,24.358418777465822,1.1721839977264403
59,25.397414052327473,25.512045999336245,24.372019091796876,1.1400269075393676
60,25.389301595391167,25.50397720966339,24.247447662353515,1.2565295473098754
61,25.386885458374024,25.501704378700257,24.239934063720703,1.2617703149795532
62,25.38749080674913,25.550319969558718,24.331035858154298,1.2192841114044188
63,25.379395870632596,25.549339981651304,24.380894281005858,1.1684457006454467
64,25.37126524895562,25.514815720939637,24.375053857421875,1.1397618635177613
