epoch,train_loss,test_loss,test_recon,test_kld
1,191.1658053331163,58.67876889266968,52.44172312011719,6.237045772552491
2,74.48300267808702,40.152303471374516,34.80213736572266,5.350166105651856
3,32.94582692701552,33.45166881256103,29.42910045776367,4.022568354797364
4,29.581131923421225,30.570080283355715,27.518758294677735,3.0513219886779783
5,28.252721090020074,29.396329137802123,26.649846319580078,2.746482818222046
6,27.725640090942385,28.772553910064694,26.48322473144531,2.2893291786193846
7,27.488036791992187,28.158493463134764,26.24322446899414,1.915268994140625
8,27.320283517456055,28.068977919960023,26.164175885009765,1.9048020349502564
9,27.26611573316786,27.73163824062347,26.15481251220703,1.5768257284164429
10,27.12443043891059,27.677926446342468,26.05888017578125,1.6190462705612183
11,26.995159769015842,27.76869884548187,26.080593823242186,1.688105022239685
12,26.910474457804362,27.33838224468231,25.94817727355957,1.3902049711227418
13,26.77032817281087,27.217967018318177,25.970948532104494,1.2470184862136842
14,26.679621700032552,27.168139043426514,25.864032656860353,1.3041063865661622
15,26.592398171997072,27.141149664878846,25.903329159545898,1.2378205053329467
16,26.508207122124567,26.91317755088806,25.814867639160155,1.0983099117279054
17,26.42429806382921,26.85839763813019,25.633507656860353,1.2248899812698364
18,26.34988894551595,26.863775537109376,25.6629516998291,1.2008238372802735
19,26.289233039686415,26.722843218421936,25.586518328857423,1.1363248895645142
20,26.233723395792644,26.66899520511627,25.643010528564453,1.0259846765518188
21,26.206269620090062,26.596207822799684,25.43760372619629,1.1586040966033935
22,26.142937411499023,26.539990415573122,25.4836285736084,1.0563618419647216
23,26.111808123101127,26.462191792297364,25.412276501464845,1.0499152908325196
24,26.0749290822347,26.431862237358093,25.319765090942383,1.1120971464157106
25,26.051912999131943,26.3609229593277,25.123564993286134,1.237357966041565
26,26.00819925333659,26.23892654247284,25.183466677856444,1.055459864616394
27,25.99100428466797,26.227131698036192,25.12200297241211,1.1051287256240845
28,25.935805614556205,26.210269166755676,25.022615182495116,1.1876539842605591
29,25.913465572781032,26.115760558509827,25.031266149902343,1.0844944086074828
30,25.88142378879123,26.003237885665893,24.937262951660156,1.0659749340057374
31,25.858726926337347,26.014294717597963,24.843493829345704,1.1708008882522583
32,25.82713725145128,25.931637739944456,24.91790810241699,1.0137296375274658
33,25.793913710869685,25.88548460216522,24.739074462890624,1.1464101392745971
34,25.75964229804145,25.778134612083438,24.553194082641603,1.2249405294418334
35,25.71148580118815,25.7163958650589,24.518634045410156,1.1977618196487427
36,25.679090260823568,25.609065999031067,24.386446215820314,1.2226197832107544
37,25.636670014105903,25.52744160308838,24.333908969116212,1.193532633972168
38,25.57881453721788,25.494122970771787,24.307943087768553,1.1861798830032348
39,25.53898349846734,25.377439456748963,24.184045053100586,1.1933944036483766
40,25.4917201300727,25.33861260585785,24.13766131591797,1.2009512899398804
41,25.42960738254123,25.22753774757385,23.95802680053711,1.2695109470367432
42,25.35385554233127,25.12354297084808,23.968124060058592,1.1554189107894897
43,25.2836543741862,25.028026452445985,23.855610412597656,1.1724160398483277
44,25.18091623263889,24.930539264488218,23.68973165283203,1.240807611656189
45,25.10291322564019,24.811560936164856,23.553633877563477,1.2579270586013793
46,24.97387960272895,24.73077929172516,23.455695236206054,1.275084055519104
47,24.837546920437283,24.585113556289674,23.371524060058594,1.2135894962310791
48,24.637900724962023,24.43828754863739,23.257550228881836,1.1807373197555542
49,24.398797664048935,24.287628949165345,23.115459066772463,1.1721698823928832
50,23.945606727430555,24.05390157623291,22.796359970092773,1.2575416061401368
51,23.91811520453559,24.087634660530092,22.907292074584962,1.1803425859451293
52,23.900121517605253,24.07712545814514,22.83397530517578,1.2431501529693603
53,23.918961412217882,24.128734201049806,22.768090701293946,1.3606434997558594
54,23.910841362508137,24.05954468460083,22.85821099243164,1.2013336921691895
55,23.914377847968208,24.087544958305358,22.805386349487303,1.282158608818054
56,23.896811581081813,24.06453685321808,22.808160055541993,1.2563767976760865
57,23.89235206841363,24.05428514614105,22.787172692871092,1.2671124532699585
58,23.889332265218098,24.034690667724607,22.75014812927246,1.2845425384521485
59,23.894640580240885,24.08103096256256,22.86646053466797,1.2145704278945924
60,23.898526820203994,24.051977087020873,22.859365829467773,1.1926112575531005
61,23.8854730855306,24.090139538764955,22.782404357910156,1.3077351808547975
62,23.89316043226454,24.067571885299685,22.79847521057129,1.2690966747283936
63,23.888958299764,24.067015136337282,22.714895346069337,1.3521197902679443
64,23.89625868733724,24.04988618545532,22.846153192138672,1.2037329933166503
65,23.884735114542643,24.056360427093505,22.754212084960937,1.3021483421325684
66,23.882325165812176,24.033779442977906,22.771497421264648,1.2622820217132569
67,23.883075518459744,24.053743357086184,22.66307237854004,1.3906709785461426
68,23.890382576497394,24.078469125556946,22.79168916320801,1.286779962348938
69,23.880691299438478,24.102316025924683,22.74194295349121,1.3603730724334717
70,23.877032731458876,24.06924317150116,22.79575008239746,1.2734930891036986
71,23.879447837320964,24.083593056488034,22.769841485595702,1.313751570892334
72,23.886911153157552,24.064307592582704,22.707255584716798,1.3570520078659059
73,23.876721880425347,24.048374488067626,22.679394525146485,1.3689799629211425
74,23.8658245964898,24.14539889831543,22.885528668212892,1.259870230102539
75,23.872971860758465,24.042245264816284,22.713877389526367,1.328367875289917
76,23.8774610083686,24.092869131088257,22.810139068603515,1.2827300624847413
